project_id,project_number,project_name,developer_id,developer_number,developer_name,master_developer_id,master_developer_number,master_developer_name,project_start_date,project_end_date,project_type_id,project_type_ar,project_classification_id,project_classification_ar,escrow_agent_id,escrow_agent_name,project_status,project_status_ar,percent_completed,completion_date,cancellation_date,project_description_ar,project_description_en,property_id,area_id,area_name_ar,area_name_en
189,189,FORTUNATO,86,86,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),19/02/2008,14/12/2014,1,عادي,1,مباني,1,بنك دبى الاسلامى ش م ع,FINISHED,منجز,100,14/12/2014,,مشروع سكني للتملك الحر يقع في منطقة قرية الجميرا الاولى. المشروع عبارة عن بناية رئيسية ارضي+اربعة طوابق علويه وبنايتين سكنية تمثل تاون هاوسز(بيوت مشتركة الجدران) جميعها مشيدة على سرداب مشترك. المبانى عبارة عن هيكل خرساني مع انهاءاته الخارجية و الداخلية ,"Freehold residential development located in Jumeirah Village First. The project consists of main building B+G+4 storey plus 2 townhouses blocks, all constructed on a shared basement. The buildings are being constructed as concrete structure with external and internal finishes.",1100116261,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
221,221,PRINCESS TOWER,99,99,اعمار العقارية (ش . م. ع),555,555,اعمار العقارية (ش . م. ع),18/12/2006,27/10/2011,1,عادي,1,مباني,4,مصرف ابوظبى الاسلامى,FINISHED,منجز,100,18/07/2012,,مشروع برج مختلط سكني - تجاري للتملك الحر يقع في منطقة مرسى دبي. المبنى مؤلف من 6 سرداب+طابق ارضي+  100 طابق علوي بهيكل خرساني مع انهاءاته الخارجية و الداخلية. يوفر المبنى 771 وحدة عقارية.,Freehold mixed use residential/commercial tower development in the Dubai Marina that is designed to be 6B+G+100  floors high and a total of 771 units. The tower will be constructed out of concrete structure and the exterior finish will be a combination of glass and hard surfaces.,1100086177,330,مرسى دبي,Marsa Dubai
331,331,Elite 3 Sports Residence,205,205,مدينة دبي الرياضية (ش. ذ. م. م),200,200,مدينة دبي الرياضية (ش. ذ. م. م),30/12/2009,13/11/2013,1,عادي,1,مباني,33,بنك المشرق (شركة مساهمة عامة),FINISHED,منجز,100,13/11/2013,,"مشروع برج سكني للتملك الحر تقع في منطقة مدينة دبي الرياضية. البرج, عبارة عن سرداب+طابق ارضي+ 5 منصة (بوديوم)+ 21 طابق علوي بهيكل خرساني مع انهاءاته الخارجية و الداخلية.","Freehold residential tower development located in Dubai Sports City, the tower is designed to have B+G+5P+21 floors. The building is being constructed as a concrete structure with external and internal finishes.",1100100062,435,الحبيه الرابعة,Al Hebiah Fourth
344,344,ERANTIS,211,211,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),22/01/2009,07/03/2013,1,عادي,1,مباني,33,بنك المشرق (شركة مساهمة عامة),FINISHED,منجز,100,07/03/2013,,مشروع سكني للتملك الحر يقع في منطقة قرية الجميرا الاولى. المشروع عبارة عن 16 تاون هاوسز بيوت (مشتركة الجدران)  جميعها مؤلفة من طابق ارضي مع طابقين علوية.المبانى عبارة عن هيكل خرساني من وحدات خرسانيه مسبقه الصب وكتل طابوقيه (بلوك) مع  انهاءاته الخارجية و الداخلية.,Freehold residential townhouses development located in Jumeirah Village first. The building is designed to be G+2 stories high and will consist of 16 villa units once completed. The building is designed to be built out of concrete structure with internal and external finishes.,1100115615,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
401,401,LOTUS PARK,255,255,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),30/06/2008,31/10/2010,1,عادي,1,مباني,1,بنك دبى الاسلامى ش م ع,FINISHED,منجز,100,31/10/2010,, ,Residential townhouse development,1100116223,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
402,402,MULBERRY PARK,255,255,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),24/06/2008,04/04/2011,1,عادي,1,مباني,1,بنك دبى الاسلامى ش م ع,FINISHED,منجز,100,04/04/2011,,مشروع سكني للتملك الحر يقع في منطقة قرية الجميرا الاولى. المشروع عبارة عن 25 تاون هاوسز (بيوت مشتركة الجدران)  جميعها مؤلفة من طابق ارضي مع طابقين علوية.المبانى عبارة عن هيكل خرساني وكتل طابوقيه (بلوك) مع انهاءاته الخارجية و الداخلية. ,Freehold residential townhouses development located in Jumeirah Village Circle. The building is designed to be G+2 stories high and will consist of 25 villa units once completed. The building is designed to be built out of concrete structure and block  with internal and external finishes.,1100115256,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
330772223,2220,لاروزا 3,14868751,1039,دبي للعقارات (ش.ذ.م.م),850,850,دبي للعقارات (ش.ذ.م.م),06/03/2021,01/09/2023,1,عادي,3,مجمع فلل,10,بنك دبى التجارى (ش.م.ع),NOT_STARTED,تحت الانشاء,0,,,يتكون المشروع من 206 تاون هاوس سكني أرضي + أول ,The project consists of 206 residential Townhouses (G + 1),1100239228,467,وادي الصفا 5,Wadi Al Safa 5
624,624,PALAZZO VERSACE,399,399,دبي للعقارات (ش.ذ.م.م),850,850,دبي للعقارات (ش.ذ.م.م),01/02/2007,17/05/2015,1,عادي,1,مباني,4,مصرف ابوظبى الاسلامى,FINISHED,منجز,100,17/05/2015,,مشروع مبنى سكني (وحدات سكنية )يقع في منطقة الجداف. المبنى عبارة عن سرداب+طابق ارضي+ 10 طابق علوي بهيكل خرساني مع انهاءاته الخارجية و الداخلية. الجناحين الشرقي و الغربي يمثلان الجزء السكني من المبنى و التي سيكون لها خدمات موفره من قبل فندق فيرساتشي والذي يقع في المنطقة الوسطية بين الجناحين ,Residential development (residential units) located in Al Jadaf area. It is designed and constructed as a B+G+10 storey building with a concrete structure and internal and external finishes. The east and west wings represent the residential parts of the development which will have services provided by the Versace Hotel that sits in between the two wings.,1100129251,334,الجداف,Al Jadaf
315,315,FRANKFURT SPORTS TOWER I,193,193,مدينة دبي الرياضية (ش. ذ. م. م),200,200,مدينة دبي الرياضية (ش. ذ. م. م),13/01/2009,31/01/2016,1,عادي,1,مباني,10,بنك دبى التجارى (ش.م.ع),FINISHED,منجز,100,31/01/2016,,مشروع بناية سكنية للتملك الحر تقع في منطقة مدينة دبي الرياضية. البناية عبارة عن سرداب+طابق ارضي+ 14 طابق علوي+نادى صحى بالسطح بهيكل خرساني مع انهاءاته الخارجية و الداخلية ,"Freehold residential building development located in Dubai Sports City, the building is designed to have B+G+14 floors+H.C.The building is being constructed as a concrete structure with internal and external finishes.",1100101867,435,الحبيه الرابعة,Al Hebiah Fourth
489,489,LIVING LEGENDS PHASE 1,905,905,دبي لاند (ش.ذ.م.م),854,854,دبي لاند (ش.ذ.م.م),01/08/2011,13/12/2015,1,عادي,2,فلل,4,مصرف ابوظبى الاسلامى,FINISHED,منجز,100,18/04/2015,,مشروع فلل سكنية للتملك الحر يقع في منطقة وادي الصفا 3. يتالف المشروع من 150 ارضي+1 فيلا، مصممة من هيكل خرساني وكتل طابوقية (بلوك) مع انهاءاته الخارجية. يمثل هذا المشروع المرحلة الاولى من مشروع لفنك ليجندز.,Freehold residential villa development located in WADI AL SAFA 3. Designed as 150 G+1 villa to be built as a concrete skeleton and block works with external and internal finishing. This represents phase 1 of the Living Legends Project,1100198868,465,وادي الصفا 3,Wadi Al Safa 3
505,505,PLATINUM TOWER,299,299,مركز دبي للسلع المتعددة,153,153,مركز دبي للسلع المتعددة,01/09/2007,23/12/2012,1,عادي,1,مباني,8,تمويل  مساهمه خاصه,FINISHED,منجز,100,23/12/2012,,مشروع برج تجاري للتملك الحر يقع في منطقة ابراج بحيرات الجميرا تلال الامارات الاولى. البناية عبارة عن برج مؤلف من 44 طابق، بهيكل كونكريتي وتغليف خارجي. وحدات المكاتب سوف تسلم بدون انهاء داخلي و يتم تجهيزها لاحقا من قبل ملاك الوحدات.,Freehold commercial tower development located at the business hub at Jumeirah Lakes Towers (Emirates Hills First). The building is designed and constructed as a 4B+G+44 storey high tower formed in a concrete structure with reflective glass exterior. The office units will be handed over as ?shell and core? to be individually fitted by their respective owners.,1100086147,350,الثنيه الخامسة,Al Thanyah Fifth
507,507,SOLITAIRE CASCADES,301,301,دبي للعقارات (ش.ذ.م.م),850,850,دبي للعقارات (ش.ذ.م.م),15/07/2009,14/02/2011,1,عادي,1,مباني,33,بنك المشرق (شركة مساهمة عامة),FINISHED,منجز,100,13/01/2013,,مشروع تطوير سكني للتملك الحر يقع في منطقة الروية. المشروع عبارة عن 2 سرداب + طابق ارضي + 8 طابق علوي   بهيكل خرساني مع الانهاءات الخارجية و الداخلية,Freehold residential building located in Al Ruwayyah. The project designed as 2B+G+8. The building designed to be constructed of a concrete structure with external and internal finishing.,1100168035,467,وادي الصفا 5,Wadi Al Safa 5
99,99,THE MATRIX,29,29,مدينة دبي الرياضية (ش. ذ. م. م),200,200,مدينة دبي الرياضية (ش. ذ. م. م),19/11/2008,26/05/2014,1,عادي,1,مباني,33,بنك المشرق (شركة مساهمة عامة),FINISHED,منجز,100,26/05/2014,,مشروع بناية سكنية مخدمة للتملك الحر تقع في منطقة مدينة دبي الرياضية. البناية عبارة عن سرداب+طابق ارضي + 5 طوابق قاعدة البرج (بوديوم) + 29 طابق علوي بهيكل خرساني مع انهاءاته الخارجية و الداخلية ,"Freehold serviced residential building development located in Dubai Sports City, the building is designed to have B+G+5P+29 floors. The building is being constructed as a concrete structure with external and internal finishes.",1100101881,435,الحبيه الرابعة,Al Hebiah Fourth
300,300,UPPER CREST,192,192,اعمار العقارية (ش . م. ع),555,555,اعمار العقارية (ش . م. ع),07/07/2008,14/12/2015,1,عادي,1,مباني,5,بنك ابوظبى التجارى,FINISHED,منجز,100,29/12/2015,,مشروع برج سكني للتملك الحر يقع في منطقة برج دبي. البرج مصمم من  (طابق ارضي+ 5 طوابق منصة (بوديوم)+نادي صحي + 37 طابق علوي). البرج مصمم ليوفر شقق فندقيه ويتم بنائه بهيكل خرساني مع انهاءاته الخارجية و الداخلية. ,Freehold residential tower located in Burj Dubai District. The tower is designed as G+5P+HC+37. The tower is designed to provide serviced hotel apartments and to be constructed out of concrete structure and block with internal and external finishes.,1100104207,390,برج خليفة,Burj Khalifa
292466555,2199,ذا في تاور,581,581,دبي لاند ريزيدنسز (ش.ذ.م.م),899,899,دبي لاند ريزيدنسز (ش.ذ.م.م),15/01/2020,15/10/2022,1,عادي,1,مباني,5,بنك ابوظبى التجارى,ACTIVE,فعال,1.22,,,".(3B+G+17+R) 5المشروع يتكون من شقق سكنية في منطقة وادي الصفا ,    ,التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخليةوخارجية,","PROJECT CONSISTS OF 3B+G+17+R RESIDENTIAL BUILDING LOCATED IN WADI AL SAFA 5. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE ,STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES,",1100205246,467,وادي الصفا 5,Wadi Al Safa 5
33149130,1784,ميلانو جيوفاني بوتيك سويتس,32123666,1143,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),19/11/2015,07/10/2019,1,عادي,1,مباني,33,بنك المشرق (شركة مساهمة عامة),FINISHED,منجز,100,07/10/2019,,"المشروع للتملك حر يقع في منطقة البرشاء جنوب الرابعة , يتكون من شقق فندقية ومحال تجارية ( أرضي + 4 طوابق مواقف + 14 طابق ) ,,,التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخليةو خارجية  ",Project consist of freehold G+4P+14 standard hotel apartment & retail at ground floor building located in Al Barsha South Fourth. The building is  designed to have a concrete structure and block with internal and external finishes.,1100173498,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
178,178,MANHATTAN,78,78,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),15/11/2008,27/12/2011,1,عادي,1,مباني,2,مصرف الامارات الاسلامى,FINISHED,منجز,100,27/12/2011,,مشروع برج  برج سكني للتملك الحر يقع في منطقة قرية الجميرا الاولى .المبنى مؤلف من طابق ارضي+ 3 طوابق بوديوم+  15 طابق علوي + 3 طوابق سرداب بهيكل خرساني مع انهاءاته الخارجية و الداخلية. ,Freehold residential building development located at Jumeirah Village First. Designed to be 3B+G+3P+15 floors high . The building will be constructed out of concrete structure with its internal and external finishes.,1100115632,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
799,799,CORDOBA PALACE,554,554,سلطة واحة دبي للسليكون,344,344,سلطة واحة دبي للسليكون,01/04/2008,09/04/2012,1,عادي,1,مباني,10,بنك دبى التجارى (ش.م.ع),FINISHED,منجز,100,09/04/2012,,مشروع مبنى سكني للتملك الحر يقع في منطقة واحة دبي للسيلكون. المبنى مؤلف من سرداب+طابق ارضي+ 8 طوابق علوية+طابق نادي صحي مشيدة من هيكل خرساني مع انهاءاته الداخلية والخارجية.,Freehold residential building located in Dubai Silicon Oasis. The building is designed as a B+G+8+HC. The building will be formed in a concrete structure with its external and internal finishes.,1100156797,484,ند حصة,Nadd Hessa
1074,1074,AL BARARI,670,670,دبي لاند (ش.ذ.م.م),854,854,دبي لاند (ش.ذ.م.م),22/04/2007,27/02/2012,1,عادي,1,مباني,10,بنك دبى التجارى (ش.م.ع),FINISHED,منجز,100,28/10/2010,,"المشروع عبارة عن عدد 189 فيلا ,B+G+1,مع التشطيبات الداخلية والخارجية و البنية التحتية ",189 Freehold residential villa development located in Wadi Al Safa 3. The villas are in different styles and sizes. Each villa is typically designed to be B+G+1. The villas are being constructed as concrete structure and concrete block with its internal and external finishes. The villas are formed in Clusters/Leafs. The project proposed to be delivered the villas with landscaping and water features.,1100144895,465,وادي الصفا 3,Wadi Al Safa 3
589,589,THE PRISM,356,356,دبي للعقارات (ش.ذ.م.م),850,850,دبي للعقارات (ش.ذ.م.م),18/12/2006,31/03/2010,1,عادي,1,مباني,1,بنك دبى الاسلامى ش م ع,FINISHED,منجز,100,31/03/2010,, , ,1100166407,526,الخليج التجارى,Business Bay
610,610,OASIS HIGH PARK,458,458,سلطة واحة دبي للسليكون,344,344,سلطة واحة دبي للسليكون,29/07/2009,29/07/2009,1,عادي,1,مباني,33,بنك المشرق (شركة مساهمة عامة),FINISHED,منجز,100,29/07/2009,, , ,1100152663,484,ند حصة,Nadd Hessa
616,616,BERMUDA VIEWS,386,386,مدينة دبي الرياضية (ش. ذ. م. م),200,200,مدينة دبي الرياضية (ش. ذ. م. م),01/01/2010,27/09/2015,1,عادي,1,مباني,1,بنك دبى الاسلامى ش م ع,FINISHED,منجز,100,27/09/2015,,مشروع بناية سكنية للتملك الحر تقع في منطقة مدينة دبي الرياضية. البناية عبارة عن 2 سرداب + طابق ارضي+ 15 طابق علوي + جمنازيوم بهيكل خرساني مع انهاءاته الخارجية و الداخلية.,"Freehold residential building development located in Dubai Sports City, the building is designed to have 2B+G+15+HC floors. The building is being constructed as a concrete structure with external and internal finishes. ",1100101855,435,الحبيه الرابعة,Al Hebiah Fourth
688,688,THE APRICOT,456,456,سلطة واحة دبي للسليكون,344,344,سلطة واحة دبي للسليكون,21/04/2008,25/08/2011,1,عادي,1,مباني,null,,FINISHED,منجز,100,25/08/2011,,مشروع برج  تجاري يقع في منطقة واحة دبي للسليكون. المبنى عبارة عن برج مؤلف من 2 سرداب+طابق ارضي + 2 طابق قاعدة البرج (بوديوم) + 12 طوابق علويه بهيكل خرساني مع انهاءاته الخارجية و الداخلية. وحدات المكاتب سوف تسلم بدون انهاء اعمال التركيب الداخلية والتي يتم تجهيزها لاحقا من قبل ملاك الوحدات.,"free hold commercial tower development located in Dubai Silicon Oasis, designed to be constructed as 2B+G+2P+12 formed in a concrete structure with its internal and external finishes. The office units will be handed over as ?core and shell? to be individually fitted by their respective owners. ",1100150293,484,ند حصة,Nadd Hessa
719,719,GOLF VIEW RESIDENCE,496,496,مدينة دبي الرياضية (ش. ذ. م. م),200,200,مدينة دبي الرياضية (ش. ذ. م. م),02/12/2008,23/05/2010,1,عادي,1,مباني,2,مصرف الامارات الاسلامى,FINISHED,منجز,100,23/05/2010,, , ,1100101891,435,الحبيه الرابعة,Al Hebiah Fourth
647,647,GARDENIA1 & 2,8199410,952,قرية جميرا (ش.ذ.م.م),102,102,قرية جميرا (ش.ذ.م.م),01/02/2014,07/04/2021,1,عادي,1,مباني,10,بنك دبى التجارى (ش.م.ع),ACTIVE,فعال,56.78,01/08/2016,,".(B+G+4+R) المشروع يتكون من شقق سكنية في منطقة البرشا جنوب الرابعة    ,التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخليةوخارجية  ,",PROJECT CONSISTS OF B+G+4+R RESIDENTIAL APARTMENTS LOCATED IN AL BARSHA SOUTH FOURTH. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.,1100116440,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
509,509,LADY RATAN MANOR,303,303,شركة نخيل (ش.م.خ),100,100,شركة نخيل (ش.م.خ),,25/08/2008,1,عادي,1,مباني,null,,FINISHED,منجز,100,25/08/2008,, , ,1100091205,343,ورسان الاولى,Al Warsan First
1071,1071, TOWER 014,864,864,دبي للعقارات (ش.ذ.م.م),850,850,دبي للعقارات (ش.ذ.م.م),28/02/2007,14/01/2010,1,عادي,1,مباني,null,,FINISHED,منجز,100,14/01/2010,, , ,1100199405,526,الخليج التجارى,Business Bay
762,762,THE DUNES,518,518,سلطة واحة دبي للسليكون,344,344,سلطة واحة دبي للسليكون,21/04/2008,03/03/2009,1,عادي,1,مباني,null,,FINISHED,منجز,100,03/03/2009,, , ,1100147213,484,ند حصة,Nadd Hessa
919,919,ZENITH TOWER A1,814,814,مدينة دبي الرياضية (ش. ذ. م. م),200,200,مدينة دبي الرياضية (ش. ذ. م. م),28/08/2007,28/08/2012,1,عادي,1,مباني,5,بنك ابوظبى التجارى,FINISHED,منجز,100,28/08/2012,,مشروع بناية سكنية للتملك الحر تقع في منطقة مدينة دبي الرياضية. البناية عبارة عن  سرداب+طابق ارضي+ 17 طابق علوي بهيكل خرساني مع انهاءاته الخارجية و الداخلية.,"Freehold residential tower development located in Dubai Sports City, the building is designed to have B+G+17  floors. The building is designed to be built as a concrete structure with its internal and external finishes.",1100101838,435,الحبيه الرابعة,Al Hebiah Fourth
948,948,MARINA ARCADE,542,542,اعمار العقارية (ش . م. ع),555,555,اعمار العقارية (ش . م. ع),01/02/2010,26/03/2017,1,عادي,1,مباني,2,مصرف الامارات الاسلامى,FINISHED,منجز,100,26/03/2017,,مشروع مختلط للتملك الحر يقع في منطقة مرسى دبي. المشروع عبارة عن برج سكني يتالف من 2 سرداب+طابق ارضي+ 47 طابق علوي بهيكل خرساني مع انهاءاته الخارجية و الداخلية ويتضمن محلات تجارية و نادي صحي و حوض سباحة,"Mixed use development located in the Dubai Marina area. The project comprises a tower of 2B+G+47 Typical Floors to be constructed out of concrete with internal & external finishes and to includes retail shops, health club and swimming pool.",1100096366,330,مرسى دبي,Marsa Dubai
989,989,WESTAR CASABLANCA,69,69,شركة نخيل (ش.م.خ),100,100,شركة نخيل (ش.م.خ),03/07/2013,27/07/2015,1,عادي,1,مباني,33,بنك المشرق (شركة مساهمة عامة),FINISHED,منجز,0,,, , ,1100115447,441,البرشاء جنوب الرابعة,Al Barsha South Fourth
