"participant_id","real_estate_id","real_estate_number","license_source_id","license_source_ar","license_source_en","license_number","license_issue_date","license_expiry_date","is_branch","main_office_id","webpage","phone","fax","activity_type_id","ded_activity_code","activity_type_ar","activity_type_en"
"16290881","16290899","16215","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","726299","03-02-2015","02-02-2021","0",null,"www.parson.ae","042944499","042949195","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"24330259","24330257","16652","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","738829","29-07-2015","20-07-2016",null,null,"","04","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"24330259","24330257","16652","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","738829","29-07-2015","20-07-2016",null,null,"","04","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"15946356","15946364","16140","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","722401","10-12-2014","09-12-2018","0",null,"","971-04-4581111","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"15946356","15946364","16140","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","722401","10-12-2014","09-12-2018","0",null,"","971-04-4581111","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"10826668","10826672","12540","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","697622","21-11-2013","03-11-2015","0",null,"","043529907","043529908","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"10826668","10826672","12540","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","697622","21-11-2013","03-11-2015","0",null,"","043529907","043529908","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"10826668","10826672","12540","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","697622","21-11-2013","03-11-2015","0",null,"","043529907","043529908","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"12298299","12298353","12930","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","707885","14-04-2014","13-04-2015","0",null,"","04 / ","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"12298299","12298353","12930","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","707885","14-04-2014","13-04-2015","0",null,"","04 / ","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"11151088","11151086","12642","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","698813","24-11-2013","23-11-2018",null,null,"","042776768","042776768","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"11151088","11151086","12642","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","698813","24-11-2013","23-11-2018",null,null,"","042776768","042776768","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"11151088","11151086","12642","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","698813","24-11-2013","23-11-2018",null,null,"","042776768","042776768","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"12427831","12427845","13068","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","708635","24-04-2014","23-04-2021","0",null,"www.a-z.property","043333697","","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"12427831","12427845","13068","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","708635","24-04-2014","23-04-2021","0",null,"www.a-z.property","043333697","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"12427831","12427845","13068","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","708635","24-04-2014","23-04-2021","0",null,"www.a-z.property","043333697","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"12154992","12154996","12882","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","706827","31-03-2014","30-03-2021","0",null,"www.yasproperties.com","971-4-3552266","971-4-3552277","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"12154992","12154996","12882","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","706827","31-03-2014","30-03-2021","0",null,"www.yasproperties.com","971-4-3552266","971-4-3552277","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"7289632","7289631","12037","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","685113","13-03-2013","12-03-2021",null,null,"","971|507173100","","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"7289632","7289631","12037","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","685113","13-03-2013","12-03-2021",null,null,"","971|507173100","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"7289632","7289631","12037","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","685113","13-03-2013","12-03-2021",null,null,"","971|507173100","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"9687716","9687720","12372","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","693943","21-08-2013","20-08-2016","0",null,"","044513111","044563563","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"9687716","9687720","12372","4386","مؤسسه محمد بن راشد لدعم مشاريع الشباب","MOHAMMED BIN RASHED ESTABLISHMENT FOR SME DEVELOPMENT","693943","21-08-2013","20-08-2016","0",null,"","044513111","044563563","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"31086458","15134690","15860","4406","مدينه دبى الطبيه منطقه حرة - ذ.م.م.","DUBAI HEALTHCARE CITY FZ - LLC","17","","",null,null,"","","","1","701001","شراء الأراضي و العقارات و بيعها","Buying and selling of real estate"
"31086458","15134690","15860","4406","مدينه دبى الطبيه منطقه حرة - ذ.م.م.","DUBAI HEALTHCARE CITY FZ - LLC","17","","",null,null,"","","","12","701014","خدمات تاجير وادارة العقارات الخاصة ","Self - owned property leasing and Management Services"
"8447542","23306730","16557","4406","مدينه دبى الطبيه منطقه حرة - ذ.م.م.","DUBAI HEALTHCARE CITY FZ - LLC","445","20-06-2011","19-06-2020",null,null,"","044298403","","12","701014","خدمات تاجير وادارة العقارات الخاصة ","Self - owned property leasing and Management Services"
"8138666","111111114","17045","4406","مدينه دبى الطبيه منطقه حرة - ذ.م.م.","DUBAI HEALTHCARE CITY FZ - LLC","171","08-04-2007","07-04-2020","0",null,"www.onyxfzc.com","+9714 3967695","065573407","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"8866827","8866825","12316","4448","سلطه واحة دبي للسيليكون","DUBAI SILICON OASIS AUTHORITY","JLT- 68157","17-07-2013","23-02-2017",null,null,"","044328221","044328220","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"5286481","5286480","11837","4448","سلطه واحة دبي للسيليكون","DUBAI SILICON OASIS AUTHORITY","JLT-66552","03-09-2012","13-12-2012",null,null,"","044470233 / ","044272424","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"425326","5123","11585","4448","سلطه واحة دبي للسيليكون","DUBAI SILICON OASIS AUTHORITY","JLT-66084","10-07-2011","23-05-2014","0",null,"","044270202 / ","044270203","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"374664","2138","2231","4448","سلطه واحة دبي للسيليكون","DUBAI SILICON OASIS AUTHORITY","JLT-65079","21-10-2009","09-09-2019",null,null,"","044380888","044243700","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"20017829","16159","16620","4506","تيكوم للإستثمارات منطقه حره  ذ.م.م","TECOM INVESTMENTS FREE ZONE ( L.L.C )","18975","","",null,null,"","","42827270","12","701014","خدمات تاجير وادارة العقارات الخاصة ","Self - owned property leasing and Management Services"
"8574643","14653838","15699","4506","تيكوم للإستثمارات منطقه حره  ذ.م.م","TECOM INVESTMENTS FREE ZONE ( L.L.C )","16005","31-12-2013","31-12-2018","0",null,"www.mashreq.com","971|0000000","0504661595","12","701014","خدمات تاجير وادارة العقارات الخاصة ","Self - owned property leasing and Management Services"
"7375260","5424849","11845","70","حكومه دبى","GOVERNMENT OF DUBAI","597065","21-06-2007","20-06-2021",null,null,"","04-3884888","04-3883778","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"7375260","5424849","11845","70","حكومه دبى","GOVERNMENT OF DUBAI","597065","21-06-2007","20-06-2021",null,null,"","04-3884888","04-3883778","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"7375260","5424849","11845","70","حكومه دبى","GOVERNMENT OF DUBAI","597065","21-06-2007","20-06-2021",null,null,"","04-3884888","04-3883778","1","701001","شراء الأراضي و العقارات و بيعها","Buying and selling of real estate"
"9008590","9008687","12347","5073","سلطه المنطقه الحره لجبل على","JABEL ALI FREE ZONE AUTHORITY","692910","28-07-2013","27-07-2021","0",null,"https://www.emaar.com/","971|5226819275","00","9","659908","التطوير العقاري","Real Estate Development"
"27737059","1620","1668","5235","دائره العقارات","REALSTATE DEPARTMENT","501669","09-10-1997","08-10-2021","0",null,"www.capitalreale.com","0564773263","0097142734553","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"29396685","29396683","17061","4341","تيكوم للإستثمارات منطقة حرة- ذ.م.م","TECOM INVESTMENTS FZ-LLC","19013","14-04-2016","13-04-2017",null,null,"","042324444","042324442","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"23060836","15134506","15828","4341","تيكوم للإستثمارات منطقة حرة- ذ.م.م","TECOM INVESTMENTS FZ-LLC","18969","31-12-2015","31-12-2020","0",null,"www.dp.ae","04/4351994","","12","701014","خدمات تاجير وادارة العقارات الخاصة ","Self - owned property leasing and Management Services"
"14445223","14445221","15638","-40","مؤسسة التنظيم العقاري","REAL ESTATE REGULATORY AGENCY ","538090","23-09-2014","29-09-2017",null,null,"","042347507","042347504","9","659908","التطوير العقاري","Real Estate Development"
"372749","223","321","-40","مؤسسة التنظيم العقاري","REAL ESTATE REGULATORY AGENCY ","0","01-01-2007","08-08-2025","0",null,"","971|42030155","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"372749","223","321","-40","مؤسسة التنظيم العقاري","REAL ESTATE REGULATORY AGENCY ","0","01-01-2007","08-08-2025","0",null,"","971|42030155","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"369193","2353","2423","-40","مؤسسة التنظيم العقاري","REAL ESTATE REGULATORY AGENCY ","OF2280","21-06-2006","13-04-2021","0",null,"www.fakhruddinholdings.com","971|556001686","","11","701003","خدمات تاجير وادارة العقارات للغير ","Leasing and Management of Other People's Property"
"369193","2353","2423","-40","مؤسسة التنظيم العقاري","REAL ESTATE REGULATORY AGENCY ","OF2280","21-06-2006","13-04-2021","0",null,"www.fakhruddinholdings.com","971|556001686","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"369193","2353","2423","-40","مؤسسة التنظيم العقاري","REAL ESTATE REGULATORY AGENCY ","OF2280","21-06-2006","13-04-2021","0",null,"www.fakhruddinholdings.com","971|556001686","","1","701001","شراء الأراضي و العقارات و بيعها","Buying and selling of real estate"
"15576770","15576775","16039","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","721973","07-12-2014","06-12-2018","0",null,"","971503830363","971-4-5560800","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"15576770","15576775","16039","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","721973","07-12-2014","06-12-2018","0",null,"","971503830363","971-4-5560800","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"24079722","24079727","16633","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","738132","07-07-2015","06-07-2018","0",null,"www.alshafaqproperties.com","042770227","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"24079722","24079727","16633","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","738132","07-07-2015","06-07-2018","0",null,"www.alshafaqproperties.com","042770227","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"21118340","21118318","16441","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","731739","13-04-2015","11-04-2016",null,null,"","971-04-3208328","971-04-3208328","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"21118340","21118318","16441","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","731739","13-04-2015","11-04-2016",null,null,"","971-04-3208328","971-04-3208328","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"15232779","15232777","15969","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","568409","19-11-2014","19-06-2015",null,null,"","971-4-2677846","971-4-2677847","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"16635335","16635653","16307","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","727922","26-02-2015","25-02-2018","0",null,"","971-4-4579975","971-4-4579978","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"16635335","16635653","16307","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","727922","26-02-2015","25-02-2018","0",null,"","971-4-4579975","971-4-4579978","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"16637336","16637631","16308","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","728654","05-03-2015","04-03-2016","0",null,"","971-04-3434743","971-04-","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"16637336","16637631","16308","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","728654","05-03-2015","04-03-2016","0",null,"","971-04-3434743","971-04-","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"24766068","24766076","16681","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","739850","06-08-2015","05-08-2021","0",null,"www.richreit.com","044471441","044471442","9","659908","التطوير العقاري","Real Estate Development"
"24766008","24766013","16676","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","739821","06-08-2015","05-08-2017","0",null,"","","",null,null,"",""
"24765966","24765971","16672","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","739038","26-07-2015","25-07-2017","0",null,"","971-04-4214021","971-04-","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"24765966","24765971","16672","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","739038","26-07-2015","25-07-2017","0",null,"","971-04-4214021","971-04-","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"27193950","27193948","16891","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","600776","18-09-2007","17-09-2021",null,null,"","971-4-3397790","971-4-3397790","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"16524462","16524460","16295","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","527623","04-07-2001","03-07-2019",null,null,"www.royalemiratesre.com","971-04-8187277","971-04-8187820","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"73888597","73888599","19059","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","781743","02-05-2017","01-05-2021",null,null,"www.orangecounty.ae","971-04-2200280","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"73888597","73888599","19059","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","781743","02-05-2017","01-05-2021",null,null,"www.orangecounty.ae","971-04-2200280","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"23847089","23847094","16604","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","737090","22-06-2015","21-06-2018","0",null,"","971-4-3444066","971-4-3444066","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"23847089","23847094","16604","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","737090","22-06-2015","21-06-2018","0",null,"","971-4-3444066","971-4-3444066","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"27030883","27030888","16875","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","745577","05-11-2015","04-11-2019","0",null,"","971-04-3401111","971-04-3400040","9","659908","التطوير العقاري","Real Estate Development"
"16538067","16538072","16297","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","727562","19-02-2015","18-02-2020","0",null,"","","","24","671910","وسيط رهن عقاري","Real Estate Mortgage Broker"
"15946369","15946374","16141","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","709068","30-04-2014","29-04-2019","0",null,"","","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"15946369","15946374","16141","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","709068","30-04-2014","29-04-2019","0",null,"","","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"16715472","16715670","16380","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","728959","10-03-2015","09-03-2020","0",null,"","971-4-6078888","",null,null,"",""
"37593062","37593067","17345","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","768086","17-10-2016","16-10-2017","0",null,"","971-4-4466053","971-4-4465509","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"37593062","37593067","17345","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","768086","17-10-2016","16-10-2017","0",null,"","971-4-4466053","971-4-4465509","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"37093704","37094129","17315","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","767889","12-10-2016","11-10-2021","0",null,"www.grand-land.com","971-4-4431030","","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"37093704","37094129","17315","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","767889","12-10-2016","11-10-2021","0",null,"www.grand-land.com","971-4-4431030","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"37093704","37094129","17315","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","767889","12-10-2016","11-10-2021","0",null,"www.grand-land.com","971-4-4431030","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"48314004","48314006","18320","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","773319","02-01-2017","01-01-2022","0",null,"","971-4-4309264","971-4-4309249","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"48314004","48314006","18320","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","773319","02-01-2017","01-01-2022","0",null,"","971-4-4309264","971-4-4309249","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"29882120","29882126","17097","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","758425","11-05-2016","10-05-2020","0",null,"","","","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"16543075","16543080","16298","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","726090","01-02-2015","31-01-2020","0",null,"","971-4-3840203","971-4-3840203",null,null,"",""
"21109897","21109902","16437","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","730647","29-03-2015","28-03-2021","0",null,"","","","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"21109897","21109902","16437","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","730647","29-03-2015","28-03-2021","0",null,"","","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"21109897","21109902","16437","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","730647","29-03-2015","28-03-2021","0",null,"","","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"21109867","21109872","16434","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","730045","13-04-2015","21-03-2017","0",null,"","04","","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"21109867","21109872","16434","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","730045","13-04-2015","21-03-2017","0",null,"","04","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"21109867","21109872","16434","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","730045","13-04-2015","21-03-2017","0",null,"","04","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"26461666","26461664","16806","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","745248","02-11-2015","01-11-2021",null,null,"www.penthouseproperties.ae","971-4-3695091","","13","702006","خدمات الإشراف الإداري للعقارات ","Real estate management supervision services "
"26461666","26461664","16806","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","745248","02-11-2015","01-11-2021",null,null,"www.penthouseproperties.ae","971-4-3695091","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
"26461666","26461664","16806","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","745248","02-11-2015","01-11-2021",null,null,"www.penthouseproperties.ae","971-4-3695091","","5","702003","الوساطة في تأجير العقارات","Leasing Property Brokerage Agents"
"21438032","21438037","16489","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","732826","27-04-2015","26-04-2020","0",null,"","","",null,null,"",""
"26691707","26691989","16837","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","746498","18-11-2015","17-11-2016","0",null,"","","","9","659908","التطوير العقاري","Real Estate Development"
"26538078","26538083","16817","-10","دائرة التنمية الاقتصادية","DUBAI ECONOMIC DEPARTMENT","745647","08-11-2015","07-11-2019","0",null,"","","","2","702001","الوساطه في  بيع العقارات و شرائها","Real Estate buying & selling Brokerage"
